Entity,Code,Year,CO₂ emissions per capita
Germany,DEU,2003,10.893722
Germany,DEU,2004,10.677804
Germany,DEU,2005,10.57788
Germany,DEU,2006,10.849607
Germany,DEU,2007,10.407971
Germany,DEU,2008,10.561389
Germany,DEU,2009,9.760688
South Africa,ZAF,2007,9.203381
South Africa,ZAF,2008,9.677716
South Africa,ZAF,2009,9.173127
South Africa,ZAF,2010,8.928475
South Africa,ZAF,2011,8.949351
South Africa,ZAF,2012,8.579701
South Africa,ZAF,2013,8.343052
Brazil,BRA,2011,2.3653224
Brazil,BRA,2012,2.5268083
Brazil,BRA,2013,2.6782215
Brazil,BRA,2014,2.7814436
Brazil,BRA,2015,2.6189272
Brazil,BRA,2016,2.4197884
Brazil,BRA,2017,2.429146
Russia,RUS,2015,11.253667
Russia,RUS,2016,11.176727
Russia,RUS,2017,11.362259
Russia,RUS,2018,11.677306
Russia,RUS,2019,11.631905
Russia,RUS,2020,11.149055
Russia,RUS,2021,11.482229
Qatar,QAT,2019,36.251686
Qatar,QAT,2020,36.145443
Qatar,QAT,2021,37.082108
Qatar,QAT,2022,37.88961
Qatar,QAT,2023,40.127865
Qatar,QAT,2024,41.27118
