Country,Year,Air_transport_passengers,Energy_Use_per_capita,Renewable_Energy_pct
BRA,2003,32372040.0,1107.9739157885,45.1
BRA,2004,35263795.0,1157.16905577095,45.2
BRA,2005,37661733.0,1173.71585743449,46.1
BRA,2006,40945038.0,1202.05933940304,46.7
BRA,2007,45286990.0,1259.91135986965,47.2
BRA,2008,58763225.0,1317.23578420454,47.0
BRA,2009,67945578.0,1262.10043812649,48.9
BRA,2010,74627064.0,1384.36896688389,46.8
BRA,2011,87860363.0,1390.00783643031,45.2
BRA,2012,94752568.0,1433.15306444735,43.5
BRA,2013,95591641.0,1487.45745839708,42.3
BRA,2014,100403628.0,1522.42189026812,41.7
BRA,2015,102039359.0,1482.02057858653,43.7
BRA,2016,94142377.0,1414.8979311951,45.4
BRA,2017,96395709.0,1431.95949698072,45.3
BRA,2018,102109977.0,1403.40232453429,46.9
BRA,2019,102917546.0,1415.83477031974,47.5
BRA,2020,45405756.0,1379.24649914162,50.0
BRA,2021,61896523.0,1430.3934661032,46.5
BRA,2022,84337817.0,1432.72741132919,
BRA,2023,95398485.0,1481.22439922518,
BRA,2024,,,
DEU,2003,72693124.0,4096.47794323132,5.4
DEU,2004,82099657.0,4131.61083697,6.3
DEU,2005,90788848.0,4109.8805864045,7.3
DEU,2006,99647314.0,4235.93876578004,8.6
DEU,2007,106101747.0,4023.73935857078,10.5
DEU,2008,107941584.0,4081.87998694017,10.2
DEU,2009,103396735.0,3821.62500577239,10.7
DEU,2010,97330734.2807591,4029.83085754355,11.6
DEU,2011,107042775.791182,3891.87175356307,12.5
DEU,2012,105978474.526384,3913.43920397127,13.6
DEU,2013,109062321.51578,3986.18505186393,13.6
DEU,2014,112353098.59355,3794.44720253102,14.0
DEU,2015,117222850.0,3780.85027551891,14.6
DEU,2016,116713587.0,3765.21799936242,14.2
DEU,2017,114160685.0,3763.19404182465,15.2
DEU,2018,109796202.17431,3659.22924485198,16.0
DEU,2019,109633750.727,3570.88159282488,17.1
DEU,2020,25758450.0,3349.19931383762,18.5
DEU,2021,33073180.0,3467.03057027911,17.6
DEU,2022,69045135.0,3261.8564081995,
DEU,2023,80199572.0,2928.19658713867,
DEU,2024,,,
QAT,2003,,18983.9448332386,0.0
QAT,2004,,21557.4750763638,0.0
QAT,2005,,20198.1689051663,0.0
QAT,2006,,20140.3428752631,0.1
QAT,2007,,18323.3464644697,0.1
QAT,2008,,15946.7278040391,0.1
QAT,2009,,15063.2666244935,0.1
QAT,2010,,16779.9216747321,0.1
QAT,2011,,16473.4269691009,0.1
QAT,2012,,21456.0669284592,0.0
QAT,2013,,20642.1423232651,0.0
QAT,2014,,17814.5431104326,0.0
QAT,2015,,16427.7565434994,0.0
QAT,2016,,15178.8562114172,0.1
QAT,2017,,16718.237047918,0.1
QAT,2018,,16139.7708310186,0.0
QAT,2019,,15760.736902246,0.1
QAT,2020,,14869.2501075493,0.0
QAT,2021,,17100.7506118977,0.0
QAT,2022,,16683.663609726,
QAT,2023,,,
QAT,2024,,,
RUS,2003,22723072.0,4461.83176005763,3.3
RUS,2004,25948923.0,4494.50152836851,3.5
RUS,2005,26522315.0,4541.20863501769,3.6
RUS,2006,28836949.0,4689.15108443259,3.5
RUS,2007,33187839.0,4710.47452096269,3.7
RUS,2008,37940321.0,4822.38136319959,3.3
RUS,2009,34402844.0,4529.20319928613,3.6
RUS,2010,43855539.0,4853.36753031766,3.3
RUS,2011,50555805.0,5004.23439250465,3.2
RUS,2012,58727125.0,5056.08323400834,3.2
RUS,2013,64072322.0,4896.95029768812,3.6
RUS,2014,72189961.0,4894.4255206275,3.3
RUS,2015,76846126.0,4785.19572494067,3.2
RUS,2016,77458318.0,4917.54083897618,3.4
RUS,2017,89373638.0,4999.07990773733,3.2
RUS,2018,99327311.0,5259.90837585133,3.2
RUS,2019,108857906.0,5065.14820867318,3.2
RUS,2020,62447448.0,5044.85366917672,3.7
RUS,2021,96851769.0,5681.39248037781,3.5
RUS,2022,82236409.0,5601.08435085175,
RUS,2023,98872628.0,,
RUS,2024,,,
ZAF,2003,9159815.0,2300.85052603256,11.8
ZAF,2004,9878598.0,2478.00378605228,11.0
ZAF,2005,11844657.0,2374.43550245537,9.7
ZAF,2006,12932671.0,2397.99082240112,9.3
ZAF,2007,12870324.0,2576.78503956652,8.7
ZAF,2008,13135437.0,2738.08467369962,9.7
ZAF,2009,12503629.0,2735.00618529644,9.2
ZAF,2010,15781210.0,2518.44190314477,9.4
ZAF,2011,16407784.9571682,2536.41417638413,9.0
ZAF,2012,17571565.2032155,2394.39798705356,8.3
ZAF,2013,16311250.0,2341.17923180198,7.8
ZAF,2014,17026643.2191223,2438.67891656885,7.6
ZAF,2015,18882898.0,2257.19467617813,7.6
ZAF,2016,19744932.0,2311.76901865151,7.8
ZAF,2017,20821044.0,2283.45815447669,7.9
ZAF,2018,24660386.0,2184.87777550689,8.0
ZAF,2019,26211258.0,2231.91074710296,8.7
ZAF,2020,8304771.044,2037.46194166103,9.8
ZAF,2021,9321575.836,2124.62297436572,9.7
ZAF,2022,12133966.35,1938.30644693274,
ZAF,2023,15454595.699,1938.50916018053,
ZAF,2024,,,
